id;name;description
1;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee
2;Forge Licensed;auxiliary
3;Engineer Toys Fantastic;Licensed
4;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan
5;input invoice calculate;Philippine Peso parsing Triple-buffered
6;deposit Rand Namibia Dollar;Branding
7;Handcrafted Rubber Sausages;Towels Mississippi Product
8;Metal;complexity Direct Administrator
9;online program Refined Granite Gloves;quantifying Baby
10;one-to-one Connecticut;Unbranded Tugrik
