id;iso_code;name;phone_reference_number
1;payment;withdrawal COM;embrace Developer
2;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors
3;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account
4;Salad Web virtual;Refined Squares;maroon
5;EXE projection Fresh;support Gorgeous;withdrawal
6;copying;ability Hat Iraq;magenta Concrete
7;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive
8;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
9;Canadian Dollar;Berkshire Designer;Credit Card Account
10;navigate;Re-contextualized;web-enabled invoice withdrawal
