id;name;logo;logo_content_type
1;Norfolk Island Chilean Peso Unidades de fomento Checking Account;../fake-data/blob/hipster.png;image/png
2;invoice Outdoors New York;../fake-data/blob/hipster.png;image/png
3;multi-byte Jamaican Dollar North Carolina;../fake-data/blob/hipster.png;image/png
4;Station;../fake-data/blob/hipster.png;image/png
5;parsing Investment Account;../fake-data/blob/hipster.png;image/png
6;Branding Dynamic black;../fake-data/blob/hipster.png;image/png
7;yellow;../fake-data/blob/hipster.png;image/png
8;Books Generic;../fake-data/blob/hipster.png;image/png
9;robust withdrawal generate;../fake-data/blob/hipster.png;image/png
10;Garden open-source hybrid;../fake-data/blob/hipster.png;image/png
