id;name;logo;logo_content_type
1;Bedfordshire;../fake-data/blob/hipster.png;image/png
2;Peru withdrawal Down-sized;../fake-data/blob/hipster.png;image/png
3;invoice;../fake-data/blob/hipster.png;image/png
4;Liaison Tonga;../fake-data/blob/hipster.png;image/png
5;Lari;../fake-data/blob/hipster.png;image/png
6;Sports Global Soft;../fake-data/blob/hipster.png;image/png
7;Bedfordshire Awesome Cotton Tuna;../fake-data/blob/hipster.png;image/png
8;calculating yellow;../fake-data/blob/hipster.png;image/png
9;Wooden;../fake-data/blob/hipster.png;image/png
10;Future;../fake-data/blob/hipster.png;image/png
