id;name;logo;logo_content_type
1;Solomon Islands Dollar;../fake-data/blob/hipster.png;image/png
2;Personal Loan Account HTTP;../fake-data/blob/hipster.png;image/png
3;schemas Specialist China;../fake-data/blob/hipster.png;image/png
4;quantify multi-byte;../fake-data/blob/hipster.png;image/png
5;interface Cotton Robust;../fake-data/blob/hipster.png;image/png
6;user-centric Infrastructure;../fake-data/blob/hipster.png;image/png
7;Managed Dobra application;../fake-data/blob/hipster.png;image/png
8;Fantastic;../fake-data/blob/hipster.png;image/png
9;Liechtenstein Buckinghamshire monetize;../fake-data/blob/hipster.png;image/png
10;Direct;../fake-data/blob/hipster.png;image/png
